               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/other_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,     val/others_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.7891,              2.3577,             0.84636,              4.8201,             0.78677,             0.75677,             0.82624,             0.44478,                   0,                   0,                   0,                   0,            0.070016,           0.0033315,           0.0033315
                   1,              5.2591,              1.8886,             0.63025,              3.2219,             0.80328,             0.73606,             0.81859,             0.47035,                   0,                   0,                   0,                   0,            0.039983,           0.0066319,           0.0066319
                   2,               4.645,              1.7454,             0.57983,              2.9748,             0.79576,             0.71899,             0.80334,             0.48755,                   0,                   0,                   0,                   0,           0.0099174,           0.0098992,           0.0098992
                   3,              4.0779,              1.5958,             0.52837,              2.8339,             0.81278,              0.7436,             0.83447,             0.53334,                   0,                   0,                   0,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,              3.9347,              1.4998,             0.51617,              2.6803,             0.82478,             0.75584,              0.8459,             0.55789,                   0,                   0,                   0,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,              3.8524,              1.4495,             0.50846,              2.6019,             0.81487,             0.77054,             0.85302,             0.57099,                   0,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   6,              3.8321,              1.4243,              0.5048,              2.5542,             0.82561,             0.78112,              0.8628,             0.58491,                   0,                   0,                   0,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,              3.7766,              1.3961,             0.50116,              2.5073,             0.83379,             0.77676,             0.86738,             0.59159,                   0,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   8,              3.7517,              1.3844,             0.49835,               2.481,             0.82702,              0.7944,             0.87212,             0.60214,                   0,                   0,                   0,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,              3.7323,              1.3636,             0.49474,              2.4515,             0.83157,              0.7944,             0.87647,             0.60847,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  10,              3.7081,              1.3572,             0.49438,              2.4334,             0.81997,             0.80308,             0.87682,             0.61458,                   0,                   0,                   0,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,                3.69,              1.3426,             0.49298,              2.4078,             0.82124,             0.80463,             0.87723,              0.6164,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  12,              3.6849,               1.341,             0.49122,              2.3975,             0.83396,             0.79361,             0.87837,              0.6195,                   0,                   0,                   0,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,               3.669,              1.3272,             0.48959,              2.3813,             0.84125,             0.79156,             0.88046,               0.623,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  14,              3.6545,              1.3225,             0.48908,              2.3736,             0.83969,             0.79327,             0.88163,             0.62575,                   0,                   0,                   0,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,              3.6461,               1.318,             0.48786,              2.3629,             0.84289,             0.79307,               0.883,             0.62775,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  16,              3.6483,              1.3142,             0.48746,              2.3525,             0.83466,             0.80274,              0.8833,             0.62904,                   0,                   0,                   0,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,              3.6457,              1.3089,             0.48587,              2.3475,             0.84534,             0.79565,             0.88393,             0.63008,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  18,                3.63,              1.3114,             0.48519,              2.3388,             0.84451,             0.79863,             0.88492,             0.63185,                   0,                   0,                   0,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,              3.6142,              1.3002,             0.48459,              2.3294,             0.83789,             0.80463,             0.88582,             0.63207,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
